language,layer,direction,mean_attention,std_attention,median_attention
russian,0,nsubj_to_root,0.075807124376297,0.042897190898656845,0.06604786962270737
russian,0,leftward,0.06850496679544449,0.040834732353687286,0.05881987884640694
russian,1,nsubj_to_root,0.045616403222084045,0.040304481983184814,0.02414737269282341
russian,1,leftward,0.02907634526491165,0.02140258438885212,0.022518763318657875
russian,2,nsubj_to_root,0.04410408064723015,0.03444904461503029,0.032036192715168
russian,2,leftward,0.04973253980278969,0.03469214588403702,0.041265103965997696
russian,3,nsubj_to_root,0.0669364482164383,0.04256877303123474,0.05956142023205757
russian,3,leftward,0.043019432574510574,0.02835145592689514,0.036928124725818634
russian,4,nsubj_to_root,0.05101647228002548,0.038212861865758896,0.04063267633318901
russian,4,leftward,0.07338747382164001,0.04724039509892464,0.06638635694980621
russian,5,nsubj_to_root,0.09673770517110825,0.062483932822942734,0.0844806507229805
russian,5,leftward,0.10918379575014114,0.07441272586584091,0.09659289568662643
russian,6,nsubj_to_root,0.10281601548194885,0.08154242485761642,0.07901254296302795
russian,6,leftward,0.09294526278972626,0.07163593173027039,0.0734761655330658
russian,7,nsubj_to_root,0.06548330932855606,0.0415872223675251,0.05665753036737442
russian,7,leftward,0.06898055970668793,0.04370620474219322,0.059270840138196945
russian,8,nsubj_to_root,0.055298756808042526,0.03854602202773094,0.04689467325806618
russian,8,leftward,0.07338385283946991,0.04753492400050163,0.06365258246660233
russian,9,nsubj_to_root,0.027157200500369072,0.024164820089936256,0.020684830844402313
russian,9,leftward,0.03201104700565338,0.02621992491185665,0.025076942518353462
russian,10,nsubj_to_root,0.02150055021047592,0.024867946282029152,0.013200398534536362
russian,10,leftward,0.022368939593434334,0.024804595857858658,0.014751427806913853
russian,11,nsubj_to_root,0.019925016909837723,0.01909405179321766,0.014357328414916992
russian,11,leftward,0.01596565544605255,0.017982766032218933,0.010085778310894966
